Quantity_Sold,Unit_Price,Profit,Discount,Month,Region,Product_Category,Sales_Channel,Customer_Type,Actual_Sales,Predicted_Sales
3,3022.1733333333336,2223.77,0.0,9,1,0,1,0,9066.52,9222.257485945607
2,11249.0,6922.85,0.1,5,1,1,1,1,22498.0,19602.113125489443
6,720.4766666666666,940.58,0.0,5,2,2,0,0,4322.86,9530.613404781074
2,10683.475,4572.55,0.15,5,2,0,1,0,21366.95,18197.115632727095
1,2748.04,670.52,0.05,5,3,1,1,1,2748.04,6122.682948071622
6,1509.3216666666667,-610.2,0.0,10,0,2,1,2,9055.93,9929.730177078087
3,5976.203333333334,5268.73,0.05,7,0,1,0,2,17928.61,14081.20157062091
9,625.1455555555556,1425.59,0.2,3,1,0,1,1,5626.31,13181.327133876255
9,2621.1388888888887,-879.74,0.05,4,2,1,1,0,23590.25,14410.277938067029
1,8683.99,2372.13,0.15,11,1,1,1,1,8683.99,14112.310713515151
5,4695.662,5469.24,0.0,2,1,1,0,1,23478.31,14649.062304976378
7,1715.9,3561.68,0.0,6,2,2,1,2,12011.3,12397.180133319885
8,1158.65,-986.36,0.05,4,1,1,1,1,9269.2,11627.167460861776
2,2322.4,1469.25,0.15,6,2,1,0,2,4644.8,7468.074394178083
2,6520.805,1010.08,0.15,5,3,0,0,2,13041.61,12174.16861898756
7,343.7685714285714,-405.96,0.1,7,2,2,1,1,2406.38,9762.578038279258
2,351.715,-75.5,0.2,12,2,2,0,0,703.43,4801.6668552280335
8,918.495,2239.74,0.15,3,2,1,1,2,7347.96,12465.233326306832
7,1857.818571428572,-845.21,0.1,2,0,0,0,1,13004.73,11798.922750951615
1,15235.78,-2316.63,0.3,9,3,1,0,2,15235.78,20697.512866262514
5,4745.004,6809.36,0.1,8,1,2,0,0,23725.02,15379.964550338422
8,1359.87875,-2146.84,0.1,11,3,1,1,0,10879.03,11393.971347268349
4,4030.0025,-641.16,0.05,2,2,1,0,2,16120.01,10811.237437202855
1,18616.17,2282.51,0.0,8,3,0,0,2,18616.17,25458.176640147612
7,2159.7585714285715,-3115.4,0.05,12,2,1,1,1,15118.31,10901.361489781902
2,3315.54,-141.98,0.3,7,1,2,0,1,6631.08,8624.440119312787
4,3290.2675,1504.8,0.2,9,1,2,0,0,13161.07,11101.714688128828
3,1392.1733333333334,29.91,0.2,11,3,2,1,1,4176.52,6850.560280853422
3,1390.2066666666667,-668.71,0.1,1,2,2,1,1,4170.62,6546.851904402367
7,1689.7514285714285,1866.13,0.1,1,0,0,1,1,11828.26,12270.81047584033
3,6541.97,-408.99,0.1,9,1,2,1,2,19625.91,12785.014498786139
9,1274.331111111111,2535.1,0.15,4,2,2,1,0,11468.98,14144.183555614896
6,1415.0433333333333,49.2,0.1,10,2,1,0,1,8490.26,10233.843247938967
