Order ID,Sale_Date,Ship Date,Customer ID,Customer Name,Customer_Type,Region,State,City,Product_Category,Sub-Category,Product Name,Sales_Amount,Quantity_Sold,Discount,Profit,Ship Mode,Payment Mode,Sales_Channel,Sales_Rep,Payment_Method,Unit_Cost,Unit_Price,Year,Month,Quarter,Profit_Margin,Customer_Segment
ORD-100001,2024-10-16,2024-10-17,CUST-9935,Customer 179,2,3,Maharashtra,Nagpur,1,Binders,Binders Model 132,5735.63,2,0.3,643.45,Standard Class,Card,1,4,0,3441.378,2867.815,2024,10,4,11.218471205429918,0
ORD-100002,2023-08-12,2023-08-14,CUST-8359,Customer 1207,1,1,Gujarat,Ahmedabad,2,Phones,Phones Model 877,17957.29,9,0.3,-525.5,Second Class,Cash,1,4,1,10774.374,1995.2544444444443,2023,8,3,-2.9263881131284286,1
ORD-100003,2023-12-15,2023-12-18,CUST-5333,Customer 1653,0,3,Karnataka,Bengaluru,1,Binders,Binders Model 649,2500.1,6,0.0,665.33,Standard Class,Cash,0,2,0,1500.06,416.6833333333333,2023,12,4,26.61213551457942,2
ORD-100004,2023-03-22,2023-03-27,CUST-2307,Customer 1752,0,1,Tamil Nadu,Coimbatore,2,Phones,Phones Model 489,17673.38,4,0.0,3979.83,First Class,Cash,0,3,0,10604.028,4418.345,2023,3,1,22.51878248529709,3
ORD-100005,2024-10-12,2024-10-19,CUST-3803,Customer 1094,2,2,Tamil Nadu,Chennai,1,Paper,Paper Model 267,5395.77,2,0.1,620.63,Same Day,Cash,0,4,1,3237.462,2697.885,2024,10,4,11.502158172049583,0
ORD-100006,2023-10-04,2023-10-10,CUST-6168,Customer 822,1,1,Telangana,Hyderabad,2,Accessories,Accessories Model 316,21102.73,4,0.0,5317.71,First Class,UPI,0,3,2,12661.638,5275.6825,2023,10,4,25.19915669678757,3
ORD-100007,2024-11-02,2024-11-06,CUST-8019,Customer 1196,1,0,Delhi,New Delhi,0,Tables,Tables Model 324,3662.83,9,0.3,133.46,Second Class,Cash,1,4,2,2197.698,406.9811111111111,2024,11,4,3.6436307445335983,2
ORD-100008,2023-04-04,2023-04-11,CUST-7304,Customer 782,2,3,Maharashtra,Mumbai,0,Bookcases,Bookcases Model 641,4167.55,7,0.3,283.5,First Class,Card,1,4,0,2500.53,595.3642857142858,2023,4,2,6.802557857734159,2
ORD-100009,2024-11-27,2024-12-03,CUST-3591,Customer 930,0,0,Maharashtra,Nagpur,2,Accessories,Accessories Model 612,19261.25,2,0.1,-1128.23,Second Class,Card,0,3,2,11556.75,9630.625,2024,11,4,-5.857511843727692,1
ORD-100010,2024-10-02,2024-10-05,CUST-6310,Customer 1001,0,1,Telangana,Hyderabad,0,Tables,Tables Model 471,19110.27,9,0.2,5067.5,First Class,UPI,0,4,2,11466.162,2123.363333333333,2024,10,4,26.51715543527119,3
ORD-100011,2023-03-01,2023-03-03,CUST-3103,Customer 1352,1,2,Gujarat,Ahmedabad,0,Bookcases,Bookcases Model 371,12252.56,9,0.0,2710.38,Same Day,UPI,0,0,0,7351.535999999999,1361.3955555555556,2023,3,1,22.120928197862327,3
ORD-100012,2024-07-06,2024-07-13,CUST-9479,Customer 925,0,2,Telangana,Hyderabad,2,Accessories,Accessories Model 330,10095.01,6,0.3,-192.26,Standard Class,Net Banking,1,1,2,6057.006,1682.5016666666668,2024,7,3,-1.904505295190396,2
ORD-100013,2023-01-22,2023-01-27,CUST-1514,Customer 1761,1,1,Gujarat,Ahmedabad,2,Phones,Phones Model 626,378.33,1,0.3,-50.73,Second Class,Net Banking,0,2,0,226.998,378.33,2023,1,1,-13.40892871302831,0
ORD-100014,2024-11-16,2024-11-20,CUST-4119,Customer 194,0,3,Karnataka,Bengaluru,2,Laptops,Laptops Model 462,14490.05,8,0.05,3392.46,Same Day,Cash,1,1,0,8694.029999999999,1811.25625,2024,11,4,23.412341572320315,3
ORD-100015,2024-04-23,2024-04-30,CUST-6559,Customer 1640,0,2,Telangana,Hyderabad,2,Laptops,Laptops Model 296,24607.3,1,0.0,527.62,Second Class,Cash,1,4,1,14764.38,24607.3,2024,4,2,2.1441604727052543,1
ORD-100016,2023-05-24,2023-05-28,CUST-2604,Customer 104,2,1,Karnataka,Mysuru,1,Binders,Binders Model 195,21887.25,8,0.0,5349.51,Second Class,UPI,1,0,0,13132.35,2735.90625,2023,5,2,24.441215776308127,3
ORD-100017,2024-02-21,2024-02-25,CUST-8454,Customer 585,1,3,Delhi,New Delhi,1,Binders,Binders Model 258,4283.0,7,0.0,-231.87,Second Class,Net Banking,0,4,2,2569.8,611.8571428571429,2024,2,1,-5.413728694840065,2
ORD-100018,2023-08-11,2023-08-12,CUST-9701,Customer 323,0,1,Gujarat,Ahmedabad,2,Accessories,Accessories Model 971,1617.7,8,0.2,59.16,Second Class,Card,1,2,1,970.62,202.2125,2023,8,3,3.6570439512888666,2
