Quantity_Sold,Unit_Price,Profit,Discount,Month,Region,Product_Category,Sales_Channel,Customer_Type,Actual_Sales,Predicted_Sales
3,3022.1733333333336,-7253.216,0.0,9,1,0,0,0,9066.52,9092.454964879342
2,11249.0,-4499.599999999999,0.1,5,1,1,1,1,22498.0,17133.27065011362
6,720.4766666666666,-11239.435999999998,0.0,5,2,2,0,0,4322.86,4914.85846155623
2,10683.475,-4273.389999999999,0.15,5,2,0,1,0,21366.95,16722.003776994745
1,2748.04,1099.216,0.05,5,3,1,0,1,2748.04,8804.455909969873
6,1509.3216666666667,-23545.418,0.0,10,0,2,0,2,9055.93,8461.811434891655
3,5976.203333333334,-14342.888,0.05,7,0,1,1,2,17928.61,13538.665810612203
9,625.1455555555556,-24755.764,0.2,3,1,0,0,1,5626.31,5342.398582842181
9,2621.1388888888887,-103797.1,0.05,4,2,1,0,0,23590.25,26583.941465477714
1,8683.99,3473.5960000000005,0.15,11,1,1,1,1,8683.99,13736.743918866836
5,4695.662,-46956.62000000001,0.0,2,1,1,1,1,23478.31,18503.523171991026
7,1715.9,-38436.16,0.0,6,2,2,1,2,12011.3,11555.191703887709
8,1158.65,-35222.96000000001,0.05,4,1,1,0,1,9269.2,9260.97557656957
2,2322.4,-928.96,0.15,6,2,1,0,2,4644.8,7869.769418814411
2,6520.805,-2608.322,0.15,5,3,0,0,2,13041.61,12307.283749633749
7,343.7685714285714,-7700.416,0.1,7,2,2,1,1,2406.38,2789.42685880931
2,351.715,-140.68600000000004,0.2,12,2,2,1,0,703.43,5914.762909306085
8,918.495,-27922.248,0.15,3,2,1,1,2,7347.96,7399.942712455196
7,1857.818571428572,-41615.136,0.1,2,0,0,0,1,13004.73,12538.54308016029
1,15235.78,6094.312,0.3,9,3,1,1,2,15235.78,19317.771644076824
5,4745.004,-47450.03999999999,0.1,8,1,2,1,0,23725.02,18625.1498820528
8,1359.87875,-41340.314000000006,0.1,11,3,1,0,0,10879.03,11028.948540402082
4,4030.0025,-22568.014,0.05,2,2,1,1,2,16120.01,12900.112074749039
1,18616.17,7446.467999999999,0.0,8,3,0,0,2,18616.17,21975.292464697515
7,2159.7585714285715,-48378.592,0.05,12,2,1,1,1,15118.31,14480.335184421916
2,3315.54,-1326.2160000000003,0.3,7,1,2,1,1,6631.08,8974.6760389425
4,3290.2675,-18425.498,0.2,9,1,2,0,0,13161.07,11054.03391810228
3,1392.1733333333334,-3341.2160000000003,0.2,11,3,2,0,1,4176.52,6594.923394257183
3,1390.2066666666667,-3336.496,0.1,1,2,2,0,1,4170.62,6606.511593260396
7,1689.7514285714285,-37850.432,0.1,1,0,0,0,1,11828.26,11466.181692660892
3,6541.97,-15700.728,0.1,9,1,2,1,2,19625.91,14376.65909435632
9,1274.331111111111,-50463.512,0.15,4,2,2,0,0,11468.98,12186.970029054703
6,1415.0433333333333,-22074.676,0.1,10,2,1,0,1,8490.26,8247.480262706102
1,21600.67,8640.268,0.2,6,3,0,1,0,21600.67,24741.19358799005
8,1821.83375,-55383.746,0.3,4,3,0,0,2,14574.67,15060.687145501775
8,2605.995,-79222.24799999999,0.05,10,1,0,1,2,20847.96,21499.409686508472
3,1905.996666666667,-4574.392,0.05,3,0,2,1,0,5717.99,7401.1714745262825
3,7189.506666666667,-17254.815999999995,0.1,1,0,1,0,0,21568.52,15442.491006423304
7,143.1342857142857,-3206.208,0.2,6,2,1,0,0,1001.94,1555.755507136072
1,12068.07,4827.228,0.15,12,3,1,1,2,12068.07,16588.441645842024
1,21806.59,8722.636,0.2,10,0,1,1,0,21806.59,24675.445454952394
10,2220.731,-111036.55000000002,0.05,12,3,1,1,2,22207.31,26988.83899493864
3,5563.416666666667,-13352.199999999995,0.15,2,1,0,1,2,16690.25,13115.048768794668
3,3472.96,-8335.104000000001,0.3,1,2,0,1,1,10418.88,10093.676550652544
10,1557.402,-77870.09999999999,0.0,10,2,0,0,1,15574.02,18172.891324260396
6,3697.723333333333,-57684.484,0.3,9,3,0,0,0,22186.34,19376.244443031785
9,1012.4588888888889,-40093.372,0.0,6,3,2,1,1,9112.13,9411.933421913112
3,261.9866666666667,-628.768,0.3,3,2,2,0,0,785.96,4996.188973186723
10,2375.678,-118783.9,0.05,11,2,2,0,2,23756.78,28838.690621438036
1,21381.93,8552.772,0.0,12,0,1,0,1,21381.93,24076.626387505414
1,13978.29,5591.316000000001,0.2,2,2,0,1,0,13978.29,18400.320044780805
9,1043.1611111111113,-41309.18000000001,0.05,9,2,2,0,0,9388.45,9625.966190112198
5,879.7280000000001,-8797.280000000002,0.3,9,3,1,0,0,4398.64,5651.039935123408
8,2997.2475,-91116.324,0.05,5,3,2,0,0,23977.98,24769.552766582994
7,2648.02,-59315.648,0.1,10,1,2,1,0,18536.14,17595.464684612627
10,1679.616,-83980.79999999999,0.15,5,2,2,0,2,16796.16,19733.223898143016
7,1788.19,-40055.45599999999,0.1,2,1,2,0,1,12517.33,11999.625149901418
10,850.146,-42507.3,0.3,12,2,1,0,2,8501.46,8819.689191231253
1,6837.04,2734.816,0.3,9,3,1,0,1,6837.04,12272.387148628626
8,2983.79,-90707.216,0.0,12,2,0,0,0,23870.32,24654.387486265616
2,5507.92,-2203.168,0.3,3,2,2,0,0,11015.84,11251.110592589903
8,2065.67,-62796.368,0.3,11,0,1,0,0,16525.36,16920.849104373447
