Quantity_Sold,Unit_Price,Profit,Discount,Month,Region,Product_Category,Sales_Channel,Customer_Type,Actual_Sales,Predicted_Sales
4,2849.98,-15959.888,0.0,9,3,2,1,0,11399.92,10546.760977315515
9,342.19888888888886,-13551.076,0.05,4,3,1,1,2,3079.79,2350.1234334889805
3,5404.06,-12969.744000000002,0.15,12,3,1,0,1,16212.18,12543.900259699498
8,3021.17625,-91843.758,0.3,5,3,1,1,0,24169.41,25439.91771432655
3,4820.393333333333,-11568.944000000003,0.3,3,2,2,1,1,14461.18,11844.608533348495
1,14493.54,5797.416000000001,0.0,8,3,1,0,2,14493.54,18359.20526931556
2,6611.245,-2644.498,0.05,5,1,1,0,0,13222.49,12274.47118685125
1,14666.93,5866.772000000001,0.0,1,1,0,0,2,14666.93,18502.159606442885
4,3129.71,-17526.376,0.1,1,2,2,0,2,12518.84,10657.445857385092
3,2642.34,-6341.616000000002,0.1,4,2,1,1,1,7927.02,8774.573371926124
9,2123.363333333333,-84085.188,0.2,10,1,0,0,0,19110.27,21266.92463934541
4,1882.36,-10541.216,0.0,11,1,2,0,1,7529.44,7753.551013814283
5,1967.408,-19674.08,0.0,9,1,0,0,1,9837.04,9158.786576413191
6,1162.8516666666667,-18140.486,0.1,9,3,0,0,0,6977.11,7078.897848119583
8,1769.16625,-53782.654,0.2,6,0,0,0,0,14153.33,14324.181829518304
7,2457.2314285714283,-55041.984,0.2,6,2,2,1,0,17200.62,16704.46895481343
2,2307.335,-922.9340000000002,0.15,7,3,1,1,1,4614.67,8076.9740516348165
9,1240.6177777777775,-49128.46399999999,0.05,3,0,1,1,0,11165.56,12169.121290467006
8,1032.78,-31396.512,0.2,8,0,1,1,1,8262.24,8181.971096313414
1,3891.59,1556.636,0.3,8,0,0,1,0,3891.59,9652.272897766547
3,1295.2666666666669,-3108.6400000000003,0.05,5,3,0,0,2,3885.8,6444.125414681387
3,996.59,-2391.8160000000003,0.3,2,2,1,1,1,2989.77,6047.668362354161
5,3991.982,-39919.81999999999,0.2,6,0,2,1,2,19959.91,16066.923535024811
3,5491.516666666666,-13179.64,0.2,5,2,1,1,0,16474.55,13056.896951099374
1,19404.34,7761.736000000001,0.2,7,0,0,1,2,19404.34,22277.181150866443
8,2354.99,-71591.696,0.15,6,0,0,1,2,18839.92,19559.237148152955
7,2203.417142857143,-49356.54400000001,0.15,7,2,1,0,1,15423.92,14700.115571059789
5,1104.992,-11049.920000000002,0.05,1,2,0,0,2,5524.96,6220.811329628263
1,20454.24,8181.696000000002,0.1,4,2,0,0,1,20454.24,23194.08266651324
7,252.9828571428572,-5666.816,0.2,1,2,1,0,2,1770.88,1825.4356221646412
7,2977.412857142857,-66694.048,0.3,4,2,1,0,0,20841.89,19728.13070034508
1,17592.59,7037.036,0.1,8,3,2,0,0,17592.59,20921.38940095609
9,1872.736666666667,-74160.372,0.0,7,1,1,1,2,16854.63,18957.486634820576
6,2887.1416666666664,-45039.41,0.05,4,3,2,1,1,17322.85,15792.524510942421
6,416.6833333333333,-6500.26,0.0,12,3,1,0,0,2500.1,3526.7565058956507
3,1392.1733333333334,-3341.2160000000003,0.2,11,3,2,0,1,4176.52,6377.736993738004
8,35.2525,-1071.676,0.3,5,0,2,1,1,282.02,-478.3403703650747
5,4573.682,-45736.81999999999,0.15,7,3,0,1,0,22868.41,18477.247627931614
3,576.4666666666667,-1383.52,0.05,4,1,0,0,2,1729.4,5250.807076883295
2,7828.415,-3131.366,0.15,11,3,1,1,1,15656.83,13635.403787925978
6,791.1933333333333,-12342.615999999998,0.3,5,1,1,0,1,4747.16,4874.631782059894
7,2207.458571428572,-49447.07199999999,0.2,2,2,2,1,2,15452.21,14953.470772042536
3,5664.759999999999,-13595.424,0.15,5,0,1,1,1,16994.28,13184.595205111807
4,836.7075,-4685.562,0.05,5,3,1,1,0,3346.83,5862.483410227704
8,2806.345,-85312.88799999999,0.3,3,0,2,1,2,22450.76,23273.586196494565
10,1979.162,-98958.1,0.05,11,2,0,1,0,19791.62,24400.497876774054
2,2867.815,-1147.1260000000002,0.3,10,3,1,1,2,5735.63,8328.789094256674
6,1682.5016666666668,-26247.026,0.3,7,2,2,1,0,10095.01,9612.83172610543
7,1538.577142857143,-34464.128000000004,0.3,5,2,0,1,1,10770.04,10492.051195763084
5,57.586,-575.8600000000001,0.05,2,3,1,1,2,287.93,2957.6407091643896
6,3688.17,-57535.452000000005,0.2,4,3,0,1,0,22129.02,19597.949071484945
9,2158.088888888889,-85460.31999999998,0.1,7,3,0,1,2,19422.8,22070.05754509125
5,3416.5,-34165.0,0.3,6,0,2,1,1,17082.5,14045.89580525751
9,1807.2511111111112,-71567.14400000001,0.05,1,0,1,1,0,16265.26,18383.269338060178
6,1486.3466666666666,-23187.008,0.15,4,1,2,0,2,8918.08,8358.071958843282
8,3115.53125,-94712.15,0.15,6,0,1,0,1,24924.25,25858.79837420194
10,702.382,-35119.100000000006,0.2,8,3,1,0,2,7023.82,6538.686558303947
4,5887.895,-32972.212,0.2,9,3,1,1,0,23551.58,17385.09536309116
9,869.5844444444444,-34435.544,0.05,1,2,2,0,0,7826.26,7944.633496088723
4,726.135,-4066.356,0.2,3,0,2,0,2,2904.54,4786.425059470067
3,8331.853333333334,-19996.448,0.2,12,0,1,1,2,24995.56,16992.23805193747
1,9472.48,3788.992,0.0,12,3,2,0,2,9472.48,14193.139869566116
9,659.348888888889,-26110.216,0.0,5,3,1,0,1,5934.14,5634.820563171716
3,1705.6666666666667,-4093.599999999999,0.3,1,2,0,0,1,5117.0,6843.133066594229
2,6179.335,-2471.7339999999986,0.15,5,1,2,1,0,12358.67,12008.517994742384
1,23750.37,9500.148,0.05,8,1,0,1,1,23750.37,26137.624132096604
3,2608.0733333333333,-6259.376000000001,0.05,5,1,2,1,0,7824.22,8788.08739350997
8,1050.4525,-31933.756,0.3,7,2,2,1,0,8403.62,8412.106341706833
5,4263.868,-42638.67999999999,0.15,12,3,1,1,2,21319.34,17155.909889962953
3,3664.236666666666,-8794.167999999998,0.05,10,0,1,0,1,10992.71,9879.713946518976
2,6405.9,-2562.3599999999988,0.3,4,1,0,0,2,12811.8,11606.635997526037
4,90.7275,-508.074,0.05,10,0,0,1,2,362.91,3717.9356835558656
1,18722.89,7489.155999999999,0.05,7,1,2,0,0,18722.89,21807.32203076635
9,2497.3355555555554,-98894.48799999998,0.0,1,0,2,0,1,22476.02,25573.205239079936
2,7188.305,-2875.322,0.0,10,0,2,1,1,14376.61,13006.531531984536
8,726.51625,-22086.094,0.05,7,3,1,1,0,5812.13,6010.20825101511
5,4918.32,-49183.19999999999,0.3,2,2,1,0,1,24591.6,19088.91435335249
3,342.48,-821.9520000000002,0.1,10,3,1,1,2,1027.44,5154.51978419879
7,669.2914285714286,-14992.127999999995,0.1,12,1,2,1,1,4685.04,4848.3097606642405
4,2227.87,-12476.072,0.3,1,1,1,1,0,8911.48,8736.685834278713
10,1392.213,-69610.64999999998,0.2,2,0,0,1,0,13922.13,16286.93921811065
2,7064.875,-2825.9500000000007,0.3,1,1,2,1,2,14129.75,12611.659289425177
1,24176.77,9670.708,0.2,5,2,0,1,2,24176.77,26314.242015192587
6,2833.55,-44203.380000000005,0.15,6,1,2,1,0,17001.3,15347.562475425542
10,1152.228,-57611.40000000001,0.3,5,3,2,1,1,11522.28,12932.904678787603
7,1447.3085714285714,-32419.712000000003,0.0,4,2,1,1,1,10131.16,10274.211817260872
1,1529.56,611.824,0.1,10,3,1,0,1,1529.56,7713.38349548135
2,7945.0,-3178.0,0.1,9,1,0,1,2,15890.0,13658.121082246096
6,3995.245,-62325.822,0.1,7,0,1,1,1,23971.47,20903.30598377859
7,1403.3157142857142,-31434.272000000004,0.3,7,1,1,1,2,9823.21,9421.11549491235
5,1777.578,-17775.780000000002,0.1,4,2,0,1,0,8887.89,8906.398465676071
2,3028.01,-1211.2039999999995,0.05,10,3,2,0,1,6056.02,8571.56498330838
10,432.887,-21644.35,0.1,10,3,1,1,1,4328.87,3379.650955981947
5,1228.226,-12282.259999999998,0.2,1,3,1,1,1,6141.13,6897.57273368184
8,221.445,-6731.928,0.1,12,3,1,0,0,1771.56,1223.7106437906032
9,562.5844444444444,-22278.344,0.2,7,0,2,1,1,5063.26,4425.668705325357
10,1661.6080000000002,-83080.4,0.15,9,1,1,1,2,16616.08,19768.74570881031
10,247.35,-12367.5,0.05,3,2,0,0,1,2473.5,679.7216720924544
3,8082.073333333334,-19396.975999999995,0.2,7,1,1,1,2,24246.22,16744.232688575335
8,2735.90625,-83171.55,0.0,5,1,1,0,2,21887.25,22772.954332896923
