Order ID,Sale_Date,Ship Date,Customer ID,Customer Name,Customer_Type,Region,State,City,Product_Category,Sub-Category,Product Name,Sales_Amount,Quantity_Sold,Discount,Profit,Ship Mode,Payment Mode,Sales_Channel,Sales_Rep,Payment_Method,Unit_Cost,Unit_Price,Year,Month,Quarter,Profit_Margin
ORD-100001,2024-10-16,2024-10-17,CUST-9935,Customer 179,2,3,Maharashtra,Nagpur,1,Binders,Binders Model 132,5735.63,2,0.3,-1147.1260000000002,Standard Class,Card,1,4,2,3441.378,2867.815,2024,10,4,-20.000000000000004
ORD-100002,2023-08-12,2023-08-14,CUST-8359,Customer 1207,1,1,Gujarat,Ahmedabad,2,Phones,Phones Model 877,17957.29,9,0.3,-79012.076,Second Class,Cash,1,0,0,10774.374,1995.2544444444443,2023,8,3,-439.99999999999994
ORD-100003,2023-12-15,2023-12-18,CUST-5333,Customer 1653,0,3,Karnataka,Bengaluru,1,Binders,Binders Model 649,2500.1,6,0.0,-6500.26,Standard Class,Cash,0,3,1,1500.06,416.6833333333333,2023,12,4,-260.0
ORD-100004,2023-03-22,2023-03-27,CUST-2307,Customer 1752,0,1,Tamil Nadu,Coimbatore,2,Phones,Phones Model 489,17673.38,4,0.0,-24742.732,First Class,Cash,1,3,2,10604.028,4418.345,2023,3,1,-140.0
ORD-100005,2024-10-12,2024-10-19,CUST-3803,Customer 1094,2,2,Tamil Nadu,Chennai,1,Paper,Paper Model 267,5395.77,2,0.1,-1079.1539999999995,Same Day,Cash,1,2,0,3237.462,2697.885,2024,10,4,-19.99999999999999
ORD-100006,2023-10-04,2023-10-10,CUST-6168,Customer 822,1,1,Telangana,Hyderabad,2,Accessories,Accessories Model 316,21102.73,4,0.0,-29543.822000000004,First Class,UPI,1,3,1,12661.638,5275.6825,2023,10,4,-140.0
ORD-100007,2024-11-02,2024-11-06,CUST-8019,Customer 1196,1,0,Delhi,New Delhi,0,Tables,Tables Model 324,3662.83,9,0.3,-16116.452,Second Class,Cash,0,4,2,2197.698,406.9811111111111,2024,11,4,-439.99999999999994
ORD-100008,2023-04-04,2023-04-11,CUST-7304,Customer 782,2,3,Maharashtra,Mumbai,0,Bookcases,Bookcases Model 641,4167.55,7,0.3,-13336.160000000003,First Class,Card,0,4,0,2500.53,595.3642857142858,2023,4,2,-320.00000000000006
ORD-100009,2024-11-27,2024-12-03,CUST-3591,Customer 930,0,0,Maharashtra,Nagpur,2,Accessories,Accessories Model 612,19261.25,2,0.1,-3852.25,Second Class,Card,1,1,2,11556.75,9630.625,2024,11,4,-20.0
ORD-100010,2024-10-02,2024-10-05,CUST-6310,Customer 1001,0,1,Telangana,Hyderabad,0,Tables,Tables Model 471,19110.27,9,0.2,-84085.188,First Class,UPI,0,0,1,11466.162,2123.363333333333,2024,10,4,-439.99999999999994
ORD-100011,2023-03-01,2023-03-03,CUST-3103,Customer 1352,1,2,Gujarat,Ahmedabad,0,Bookcases,Bookcases Model 371,12252.56,9,0.0,-53911.263999999996,Same Day,UPI,1,0,1,7351.535999999999,1361.3955555555556,2023,3,1,-439.99999999999994
ORD-100012,2024-07-06,2024-07-13,CUST-9479,Customer 925,0,2,Telangana,Hyderabad,2,Accessories,Accessories Model 330,10095.01,6,0.3,-26247.025999999998,Standard Class,Net Banking,1,4,1,6057.006,1682.5016666666668,2024,7,3,-259.99999999999994
ORD-100013,2023-01-22,2023-01-27,CUST-1514,Customer 1761,1,1,Gujarat,Ahmedabad,2,Phones,Phones Model 626,378.33,1,0.3,151.332,Second Class,Net Banking,1,0,2,226.998,378.33,2023,1,1,40.0
ORD-100014,2024-11-16,2024-11-20,CUST-4119,Customer 194,0,3,Karnataka,Bengaluru,2,Laptops,Laptops Model 462,14490.05,8,0.05,-55062.18999999999,Same Day,Cash,0,3,0,8694.029999999999,1811.25625,2024,11,4,-379.99999999999994
ORD-100015,2024-04-23,2024-04-30,CUST-6559,Customer 1640,0,2,Telangana,Hyderabad,2,Laptops,Laptops Model 296,24607.3,1,0.0,9842.92,Second Class,Cash,1,4,2,14764.38,24607.3,2024,4,2,40.0
ORD-100016,2023-05-24,2023-05-28,CUST-2604,Customer 104,2,1,Karnataka,Mysuru,1,Binders,Binders Model 195,21887.25,8,0.0,-83171.55,Second Class,UPI,0,2,1,13132.35,2735.90625,2023,5,2,-380.0
ORD-100017,2024-02-21,2024-02-25,CUST-8454,Customer 585,1,3,Delhi,New Delhi,1,Binders,Binders Model 258,4283.0,7,0.0,-13705.600000000002,Second Class,Net Banking,0,2,0,2569.8,611.8571428571429,2024,2,1,-320.00000000000006
ORD-100018,2023-08-11,2023-08-12,CUST-9701,Customer 323,0,1,Gujarat,Ahmedabad,2,Accessories,Accessories Model 971,1617.7,8,0.2,-6147.26,Second Class,Card,0,4,1,970.62,202.2125,2023,8,3,-380.0
ORD-100019,2024-09-01,2024-09-02,CUST-1651,Customer 1269,0,3,Telangana,Hyderabad,1,Binders,Binders Model 773,23551.58,4,0.2,-32972.212,First Class,Net Banking,1,0,0,14130.948,5887.895,2024,9,3,-140.0
ORD-100020,2023-07-29,2023-08-04,CUST-2188,Customer 20,1,1,Telangana,Hyderabad,0,Tables,Tables Model 175,10015.49,5,0.3,-20030.980000000003,Second Class,Net Banking,1,3,1,6009.294,2003.098,2023,7,3,-200.00000000000006
ORD-100021,2023-05-16,2023-05-19,CUST-9666,Customer 17,2,0,Maharashtra,Mumbai,1,Paper,Paper Model 779,4112.12,5,0.2,-8224.240000000002,Standard Class,UPI,1,4,2,2467.272,822.424,2023,5,2,-200.00000000000006
ORD-100022,2023-09-28,2023-09-29,CUST-4335,Customer 1408,2,0,Maharashtra,Nagpur,2,Phones,Phones Model 617,6954.24,4,0.2,-9735.936,Same Day,Net Banking,1,2,1,4172.544,1738.56,2023,9,3,-140.0
ORD-100023,2023-02-22,2023-02-23,CUST-8239,Customer 1130,2,3,Telangana,Hyderabad,1,Binders,Binders Model 674,287.93,5,0.05,-575.8600000000001,Standard Class,Card,1,3,1,172.758,57.586,2023,2,1,-200.00000000000006
ORD-100024,2023-03-19,2023-03-25,CUST-6974,Customer 1631,0,0,Karnataka,Bengaluru,1,Storage,Storage Model 315,13902.62,3,0.15,-11122.096,Second Class,Card,1,4,1,8341.572,4634.206666666667,2023,3,1,-80.0
ORD-100025,2023-12-29,2024-01-05,CUST-3900,Customer 845,0,2,Gujarat,Surat,2,Laptops,Laptops Model 854,4032.92,3,0.05,-3226.3359999999993,First Class,Cash,0,3,2,2419.752,1344.3066666666666,2023,12,4,-79.99999999999999
ORD-100026,2024-11-16,2024-11-23,CUST-8711,Customer 456,0,3,Telangana,Hyderabad,1,Binders,Binders Model 458,19726.89,7,0.0,-63126.047999999995,First Class,UPI,1,2,0,11836.134,2818.127142857142,2024,11,4,-320.0
ORD-100027,2023-08-17,2023-08-18,CUST-9346,Customer 819,2,0,Telangana,Hyderabad,1,Paper,Paper Model 128,7109.36,5,0.0,-14218.720000000001,Standard Class,Net Banking,1,4,2,4265.616,1421.8719999999998,2023,8,3,-200.00000000000006
ORD-100028,2023-07-02,2023-07-07,CUST-9379,Customer 237,1,2,Tamil Nadu,Chennai,0,Bookcases,Bookcases Model 360,10977.18,6,0.3,-28540.667999999998,Standard Class,Cash,0,3,1,6586.308,1829.53,2023,7,3,-259.99999999999994
ORD-100029,2023-01-02,2023-01-07,CUST-3041,Customer 1475,1,0,Gujarat,Ahmedabad,1,Paper,Paper Model 782,1935.35,6,0.3,-5031.909999999998,Same Day,Net Banking,0,0,0,1161.2099999999998,322.55833333333334,2023,1,1,-259.99999999999994
ORD-100030,2024-02-17,2024-02-23,CUST-5930,Customer 832,2,1,Tamil Nadu,Chennai,0,Tables,Tables Model 411,16690.25,3,0.15,-13352.199999999997,First Class,UPI,0,3,0,10014.15,5563.416666666667,2024,2,1,-79.99999999999999
ORD-100031,2024-03-16,2024-03-23,CUST-3780,Customer 1350,0,0,Gujarat,Surat,1,Paper,Paper Model 627,11165.56,9,0.05,-49128.46399999999,First Class,Card,1,2,1,6699.335999999999,1240.6177777777775,2024,3,1,-439.99999999999994
ORD-100032,2023-08-29,2023-09-04,CUST-2193,Customer 933,1,2,Tamil Nadu,Chennai,0,Chairs,Chairs Model 835,805.75,8,0.05,-3061.85,Same Day,Cash,1,0,1,483.45,100.71875,2023,8,3,-380.0
