Order ID,Sale_Date,Ship Date,Customer ID,Customer Name,Customer_Type,Region,State,City,Product_Category,Sub-Category,Product Name,Sales_Amount,Quantity_Sold,Discount,Profit,Ship Mode,Payment Mode,Sales_Channel,Sales_Rep,Payment_Method,Unit_Cost,Unit_Price,Year,Month,Quarter,Profit_Margin,Customer_Segment
ORD-100001,2024-10-16,2024-10-17,CUST-9935,Customer 179,2,3,Maharashtra,Nagpur,1,Binders,Binders Model 132,5735.63,2,0.3,-1147.1260000000002,Standard Class,Card,1,4,2,3441.378,2867.815,2024,10,4,-20.000000000000004,2
ORD-100002,2023-08-12,2023-08-14,CUST-8359,Customer 1207,1,1,Gujarat,Ahmedabad,2,Phones,Phones Model 877,17957.29,9,0.3,-79012.076,Second Class,Cash,1,0,0,10774.374,1995.2544444444443,2023,8,3,-440.0,3
ORD-100003,2023-12-15,2023-12-18,CUST-5333,Customer 1653,0,3,Karnataka,Bengaluru,1,Binders,Binders Model 649,2500.1,6,0.0,-6500.26,Standard Class,Cash,0,3,1,1500.06,416.6833333333333,2023,12,4,-260.0,1
ORD-100004,2023-03-22,2023-03-27,CUST-2307,Customer 1752,0,1,Tamil Nadu,Coimbatore,2,Phones,Phones Model 489,17673.38,4,0.0,-24742.732,First Class,Cash,1,3,2,10604.028,4418.345,2023,3,1,-140.0,0
ORD-100005,2024-10-12,2024-10-19,CUST-3803,Customer 1094,2,2,Tamil Nadu,Chennai,1,Paper,Paper Model 267,5395.77,2,0.1,-1079.1539999999995,Same Day,Cash,1,2,0,3237.462,2697.885,2024,10,4,-19.99999999999999,2
ORD-100006,2023-10-04,2023-10-10,CUST-6168,Customer 822,1,1,Telangana,Hyderabad,2,Accessories,Accessories Model 316,21102.73,4,0.0,-29543.822000000004,First Class,UPI,1,3,1,12661.638,5275.6825,2023,10,4,-140.0,0
ORD-100007,2024-11-02,2024-11-06,CUST-8019,Customer 1196,1,0,Delhi,New Delhi,0,Tables,Tables Model 324,3662.83,9,0.3,-16116.452,Second Class,Cash,0,4,2,2197.698,406.9811111111111,2024,11,4,-440.0,1
ORD-100008,2023-04-04,2023-04-11,CUST-7304,Customer 782,2,3,Maharashtra,Mumbai,0,Bookcases,Bookcases Model 641,4167.55,7,0.3,-13336.160000000003,First Class,Card,0,4,0,2500.53,595.3642857142858,2023,4,2,-320.00000000000006,1
ORD-100009,2024-11-27,2024-12-03,CUST-3591,Customer 930,0,0,Maharashtra,Nagpur,2,Accessories,Accessories Model 612,19261.25,2,0.1,-3852.25,Second Class,Card,1,1,2,11556.75,9630.625,2024,11,4,-20.0,0
ORD-100010,2024-10-02,2024-10-05,CUST-6310,Customer 1001,0,1,Telangana,Hyderabad,0,Tables,Tables Model 471,19110.27,9,0.2,-84085.188,First Class,UPI,0,0,1,11466.162,2123.363333333333,2024,10,4,-440.0,3
