Order ID,Sale_Date,Ship Date,Customer ID,Customer Name,Customer_Type,Region,State,City,Product_Category,Sub-Category,Product Name,Sales_Amount,Quantity_Sold,Discount,Profit,Ship Mode,Payment Mode,Sales_Channel,Sales_Rep,Payment_Method,Unit_Cost,Unit_Price
ORD-100001,2024-10-16,2024-10-17,CUST-9935,Customer 179,Home Office,West,Maharashtra,Nagpur,Office Supplies,Binders,Binders Model 132,5735.63,2,0.3,643.45,Standard Class,Card,Retail,Eve,PayPal,3441.378,2867.815
ORD-100002,2023-08-12,2023-08-14,CUST-8359,Customer 1207,Corporate,North,Gujarat,Ahmedabad,Technology,Phones,Phones Model 877,17957.29,9,0.3,-525.5,Second Class,Cash,Retail,Alice,Bank Transfer,10774.374,1995.2544444444443
ORD-100003,2023-12-15,2023-12-18,CUST-5333,Customer 1653,Consumer,West,Karnataka,Bengaluru,Office Supplies,Binders,Binders Model 649,2500.1,6,0.0,665.33,Standard Class,Cash,Online,David,Credit Card,1500.06,416.6833333333333
ORD-100004,2023-03-22,2023-03-27,CUST-2307,Customer 1752,Consumer,North,Tamil Nadu,Coimbatore,Technology,Phones,Phones Model 489,17673.38,4,0.0,3979.83,First Class,Cash,Retail,David,PayPal,10604.028,4418.345
ORD-100005,2024-10-12,2024-10-19,CUST-3803,Customer 1094,Home Office,South,Tamil Nadu,Chennai,Office Supplies,Paper,Paper Model 267,5395.77,2,0.1,620.63,Same Day,Cash,Retail,Charlie,Bank Transfer,3237.462,2697.885
ORD-100006,2023-10-04,2023-10-10,CUST-6168,Customer 822,Corporate,North,Telangana,Hyderabad,Technology,Accessories,Accessories Model 316,21102.73,4,0.0,5317.71,First Class,UPI,Retail,David,Credit Card,12661.638,5275.6825
ORD-100007,2024-11-02,2024-11-06,CUST-8019,Customer 1196,Corporate,East,Delhi,New Delhi,Furniture,Tables,Tables Model 324,3662.83,9,0.3,133.46,Second Class,Cash,Online,Eve,PayPal,2197.698,406.9811111111111
ORD-100008,2023-04-04,2023-04-11,CUST-7304,Customer 782,Home Office,West,Maharashtra,Mumbai,Furniture,Bookcases,Bookcases Model 641,4167.55,7,0.3,283.5,First Class,Card,Online,Eve,Bank Transfer,2500.53,595.3642857142858
ORD-100009,2024-11-27,2024-12-03,CUST-3591,Customer 930,Consumer,East,Maharashtra,Nagpur,Technology,Accessories,Accessories Model 612,19261.25,2,0.1,-1128.23,Second Class,Card,Retail,Bob,PayPal,11556.75,9630.625
ORD-100010,2024-10-02,2024-10-05,CUST-6310,Customer 1001,Consumer,North,Telangana,Hyderabad,Furniture,Tables,Tables Model 471,19110.27,9,0.2,5067.5,First Class,UPI,Online,Alice,Credit Card,11466.162,2123.363333333333
ORD-100011,2023-03-01,2023-03-03,CUST-3103,Customer 1352,Corporate,South,Gujarat,Ahmedabad,Furniture,Bookcases,Bookcases Model 371,12252.56,9,0.0,2710.38,Same Day,UPI,Retail,Alice,Credit Card,7351.535999999999,1361.3955555555556
ORD-100012,2024-07-06,2024-07-13,CUST-9479,Customer 925,Consumer,South,Telangana,Hyderabad,Technology,Accessories,Accessories Model 330,10095.01,6,0.3,-192.26,Standard Class,Net Banking,Retail,Eve,Credit Card,6057.006,1682.5016666666668
ORD-100013,2023-01-22,2023-01-27,CUST-1514,Customer 1761,Corporate,North,Gujarat,Ahmedabad,Technology,Phones,Phones Model 626,378.33,1,0.3,-50.73,Second Class,Net Banking,Retail,Alice,PayPal,226.998,378.33
ORD-100014,2024-11-16,2024-11-20,CUST-4119,Customer 194,Consumer,West,Karnataka,Bengaluru,Technology,Laptops,Laptops Model 462,14490.05,8,0.05,3392.46,Same Day,Cash,Online,David,Bank Transfer,8694.029999999999,1811.25625
ORD-100015,2024-04-23,2024-04-30,CUST-6559,Customer 1640,Consumer,South,Telangana,Hyderabad,Technology,Laptops,Laptops Model 296,24607.3,1,0.0,527.62,Second Class,Cash,Retail,Eve,PayPal,14764.38,24607.3
ORD-100016,2023-05-24,2023-05-28,CUST-2604,Customer 104,Home Office,North,Karnataka,Mysuru,Office Supplies,Binders,Binders Model 195,21887.25,8,0.0,5349.51,Second Class,UPI,Online,Charlie,Credit Card,13132.35,2735.90625
ORD-100017,2024-02-21,2024-02-25,CUST-8454,Customer 585,Corporate,West,Delhi,New Delhi,Office Supplies,Binders,Binders Model 258,4283.0,7,0.0,-231.87,Second Class,Net Banking,Online,Charlie,Bank Transfer,2569.8,611.8571428571429
ORD-100018,2023-08-11,2023-08-12,CUST-9701,Customer 323,Consumer,North,Gujarat,Ahmedabad,Technology,Accessories,Accessories Model 971,1617.7,8,0.2,59.16,Second Class,Card,Online,Eve,Credit Card,970.62,202.2125
ORD-100019,2024-09-01,2024-09-02,CUST-1651,Customer 1269,Consumer,West,Telangana,Hyderabad,Office Supplies,Binders,Binders Model 773,23551.58,4,0.2,1846.57,First Class,Net Banking,Retail,Alice,Bank Transfer,14130.948,5887.895
ORD-100020,2023-07-29,2023-08-04,CUST-2188,Customer 20,Corporate,North,Telangana,Hyderabad,Furniture,Tables,Tables Model 175,10015.49,5,0.3,-85.4,Second Class,Net Banking,Retail,David,Credit Card,6009.294,2003.098
ORD-100021,2023-05-16,2023-05-19,CUST-9666,Customer 17,Home Office,East,Maharashtra,Mumbai,Office Supplies,Paper,Paper Model 779,4112.12,5,0.2,396.5,Standard Class,UPI,Retail,Eve,PayPal,2467.272,822.424
ORD-100022,2023-09-28,2023-09-29,CUST-4335,Customer 1408,Home Office,East,Maharashtra,Nagpur,Technology,Phones,Phones Model 617,6954.24,4,0.2,1075.73,Same Day,Net Banking,Retail,Charlie,Credit Card,4172.544,1738.56
ORD-100023,2023-02-22,2023-02-23,CUST-8239,Customer 1130,Home Office,West,Telangana,Hyderabad,Office Supplies,Binders,Binders Model 674,287.93,5,0.05,-34.88,Standard Class,Card,Retail,David,Credit Card,172.758,57.586
ORD-100024,2023-03-19,2023-03-25,CUST-6974,Customer 1631,Consumer,East,Karnataka,Bengaluru,Office Supplies,Storage,Storage Model 315,13902.62,3,0.15,-2877.76,Second Class,Card,Retail,Eve,Credit Card,8341.572,4634.206666666667
ORD-100025,2023-12-29,2024-01-05,CUST-3900,Customer 845,Consumer,South,Gujarat,Surat,Technology,Laptops,Laptops Model 854,4032.92,3,0.05,1318.42,First Class,Cash,Online,David,PayPal,2419.752,1344.3066666666666
ORD-100026,2024-11-16,2024-11-23,CUST-8711,Customer 456,Consumer,West,Telangana,Hyderabad,Office Supplies,Binders,Binders Model 458,19726.89,7,0.0,5517.45,First Class,UPI,Retail,Charlie,Bank Transfer,11836.134,2818.127142857142
ORD-100027,2023-08-17,2023-08-18,CUST-9346,Customer 819,Home Office,East,Telangana,Hyderabad,Office Supplies,Paper,Paper Model 128,7109.36,5,0.0,-48.84,Standard Class,Net Banking,Retail,Eve,PayPal,4265.616,1421.8719999999998
ORD-100028,2023-07-02,2023-07-07,CUST-9379,Customer 237,Corporate,South,Tamil Nadu,Chennai,Furniture,Bookcases,Bookcases Model 360,10977.18,6,0.3,-219.36,Standard Class,Cash,Online,David,Credit Card,6586.308,1829.53
ORD-100029,2023-01-02,2023-01-07,CUST-3041,Customer 1475,Corporate,East,Gujarat,Ahmedabad,Office Supplies,Paper,Paper Model 782,1935.35,6,0.3,160.12,Same Day,Net Banking,Online,Alice,Bank Transfer,1161.2099999999998,322.55833333333334
ORD-100030,2024-02-17,2024-02-23,CUST-5930,Customer 832,Home Office,North,Tamil Nadu,Chennai,Furniture,Tables,Tables Model 411,16690.25,3,0.15,1811.45,First Class,UPI,Online,David,Bank Transfer,10014.15,5563.416666666667
ORD-100031,2024-03-16,2024-03-23,CUST-3780,Customer 1350,Consumer,East,Gujarat,Surat,Office Supplies,Paper,Paper Model 627,11165.56,9,0.05,561.1,First Class,Card,Retail,Charlie,Credit Card,6699.335999999999,1240.6177777777775
ORD-100032,2023-08-29,2023-09-04,CUST-2193,Customer 933,Corporate,South,Tamil Nadu,Chennai,Furniture,Chairs,Chairs Model 835,805.75,8,0.05,101.69,Same Day,Cash,Retail,Alice,Credit Card,483.45,100.71875
ORD-100033,2024-02-14,2024-02-16,CUST-5082,Customer 1738,Consumer,West,Karnataka,Bengaluru,Furniture,Tables,Tables Model 236,5627.26,9,0.3,-25.31,Same Day,Net Banking,Online,Eve,Bank Transfer,3376.356,625.2511111111112
ORD-100034,2024-03-29,2024-04-03,CUST-5050,Customer 1721,Home Office,East,Telangana,Hyderabad,Technology,Accessories,Accessories Model 884,22450.76,8,0.3,-279.77,Same Day,UPI,Retail,Bob,Bank Transfer,13470.455999999998,2806.345
ORD-100035,2023-10-09,2023-10-13,CUST-3471,Customer 474,Corporate,South,Maharashtra,Nagpur,Office Supplies,Binders,Binders Model 823,6938.53,9,0.1,-1218.98,Second Class,Card,Retail,Bob,Credit Card,4163.118,770.9477777777778
ORD-100036,2024-02-29,2024-03-04,CUST-1320,Customer 1755,Home Office,West,Tamil Nadu,Coimbatore,Office Supplies,Binders,Binders Model 588,5329.49,7,0.15,1426.5,Standard Class,Net Banking,Retail,Eve,PayPal,3197.694,761.3557142857143
ORD-100037,2023-11-02,2023-11-09,CUST-5471,Customer 893,Corporate,North,Delhi,New Delhi,Technology,Laptops,Laptops Model 498,18418.92,4,0.2,525.42,First Class,Cash,Online,David,PayPal,11051.352,4604.73
ORD-100038,2023-06-19,2023-06-26,CUST-1444,Customer 172,Home Office,West,Delhi,New Delhi,Technology,Laptops,Laptops Model 238,868.77,10,0.15,69.86,Same Day,UPI,Retail,Eve,PayPal,521.262,86.877
ORD-100039,2023-02-21,2023-02-24,CUST-7906,Customer 517,Consumer,West,Delhi,New Delhi,Furniture,Tables,Tables Model 119,8305.78,5,0.15,1524.99,Standard Class,Net Banking,Online,Alice,Bank Transfer,4983.468,1661.1560000000002
ORD-100040,2023-08-18,2023-08-24,CUST-4908,Customer 259,Corporate,North,Maharashtra,Nagpur,Furniture,Chairs,Chairs Model 677,23750.37,1,0.05,3128.75,Second Class,Cash,Retail,Bob,Bank Transfer,14250.222,23750.37
ORD-100041,2024-12-17,2024-12-20,CUST-3683,Customer 638,Consumer,North,Tamil Nadu,Chennai,Technology,Laptops,Laptops Model 419,24100.62,2,0.3,4043.74,Same Day,Cash,Retail,Alice,Credit Card,14460.372,12050.31
ORD-100042,2023-07-23,2023-07-24,CUST-1672,Customer 712,Home Office,West,Gujarat,Ahmedabad,Furniture,Bookcases,Bookcases Model 777,19357.53,10,0.3,3543.21,First Class,Card,Online,Eve,PayPal,11614.517999999998,1935.753
ORD-100043,2024-06-02,2024-06-08,CUST-8135,Customer 361,Home Office,East,Tamil Nadu,Chennai,Office Supplies,Paper,Paper Model 730,2817.36,8,0.1,476.19,Same Day,Cash,Online,Eve,Credit Card,1690.416,352.17
ORD-100044,2024-03-22,2024-03-29,CUST-4995,Customer 1537,Corporate,West,Telangana,Hyderabad,Office Supplies,Binders,Binders Model 444,20802.13,5,0.0,5926.47,Standard Class,Cash,Online,Bob,Credit Card,12481.278,4160.426
ORD-100045,2023-11-29,2023-12-01,CUST-9464,Customer 392,Consumer,South,Delhi,New Delhi,Office Supplies,Paper,Paper Model 837,8640.4,5,0.2,567.55,Same Day,Cash,Online,Eve,Credit Card,5184.24,1728.08
ORD-100046,2024-07-22,2024-07-29,CUST-7625,Customer 1417,Consumer,East,Karnataka,Mysuru,Technology,Laptops,Laptops Model 779,12372.37,2,0.0,-472.26,First Class,Cash,Online,Eve,Bank Transfer,7423.422,6186.185
ORD-100047,2024-07-20,2024-07-25,CUST-5118,Customer 473,Consumer,South,Tamil Nadu,Coimbatore,Technology,Laptops,Laptops Model 423,8403.62,8,0.3,-932.77,Standard Class,UPI,Retail,Eve,PayPal,5042.1720000000005,1050.4525
ORD-100048,2023-07-16,2023-07-18,CUST-2647,Customer 1706,Consumer,East,Telangana,Hyderabad,Office Supplies,Storage,Storage Model 332,14821.76,10,0.2,-1250.23,First Class,UPI,Retail,Eve,Bank Transfer,8893.056,1482.176
ORD-100049,2023-11-06,2023-11-07,CUST-3068,Customer 1307,Corporate,North,Telangana,Hyderabad,Office Supplies,Binders,Binders Model 993,24362.51,5,0.2,3497.96,Standard Class,Net Banking,Retail,Eve,PayPal,14617.506,4872.502
ORD-100050,2024-04-25,2024-04-29,CUST-7565,Customer 1008,Consumer,North,Delhi,New Delhi,Furniture,Chairs,Chairs Model 255,6461.46,2,0.15,1435.5,Second Class,Net Banking,Online,Eve,Bank Transfer,3876.876,3230.73
ORD-100051,2023-03-29,2023-03-31,CUST-7232,Customer 923,Corporate,East,Maharashtra,Nagpur,Office Supplies,Storage,Storage Model 980,14983.95,4,0.2,2796.48,Same Day,Net Banking,Online,David,Credit Card,8990.37,3745.9875
ORD-100052,2024-08-05,2024-08-10,CUST-2330,Customer 322,Consumer,South,Maharashtra,Nagpur,Technology,Phones,Phones Model 665,23700.24,4,0.05,-1527.35,Standard Class,UPI,Retail,Charlie,Credit Card,14220.144,5925.06
ORD-100053,2023-01-03,2023-01-07,CUST-8438,Customer 146,Home Office,South,Delhi,New Delhi,Office Supplies,Binders,Binders Model 370,5940.61,5,0.3,752.34,Second Class,Cash,Online,David,PayPal,3564.3659999999995,1188.1219999999998
ORD-100054,2023-04-28,2023-05-03,CUST-5728,Customer 900,Consumer,West,Karnataka,Bengaluru,Office Supplies,Binders,Binders Model 805,1970.96,5,0.05,231.14,First Class,Cash,Online,Eve,PayPal,1182.576,394.192
ORD-100055,2023-10-06,2023-10-11,CUST-1423,Customer 188,Consumer,North,Gujarat,Surat,Office Supplies,Binders,Binders Model 883,15031.31,6,0.15,1533.83,First Class,Card,Online,Alice,Credit Card,9018.786,2505.218333333333
ORD-100056,2023-06-29,2023-07-03,CUST-8700,Customer 713,Corporate,East,Gujarat,Surat,Office Supplies,Binders,Binders Model 428,24924.25,8,0.15,7551.56,Standard Class,UPI,Online,David,PayPal,14954.55,3115.53125
ORD-100057,2023-12-04,2023-12-08,CUST-6153,Customer 517,Corporate,North,Telangana,Hyderabad,Office Supplies,Storage,Storage Model 891,23640.8,1,0.2,240.05,Same Day,Card,Retail,David,PayPal,14184.48,23640.8
ORD-100058,2024-11-04,2024-11-11,CUST-8242,Customer 1557,Consumer,South,Gujarat,Surat,Office Supplies,Binders,Binders Model 373,4852.05,10,0.1,951.21,Second Class,Net Banking,Online,Alice,Credit Card,2911.23,485.205
ORD-100059,2024-03-24,2024-03-30,CUST-1224,Customer 1132,Corporate,North,Delhi,New Delhi,Furniture,Bookcases,Bookcases Model 330,15300.02,3,0.05,-598.04,Standard Class,Cash,Retail,Alice,PayPal,9180.012,5100.006666666667
ORD-100060,2023-05-01,2023-05-07,CUST-8736,Customer 500,Corporate,South,Karnataka,Mysuru,Technology,Accessories,Accessories Model 492,12820.03,7,0.1,3065.25,Second Class,UPI,Online,Eve,Credit Card,7692.018,1831.4328571428573
ORD-100061,2023-03-13,2023-03-16,CUST-9022,Customer 1773,Consumer,West,Delhi,New Delhi,Technology,Accessories,Accessories Model 651,20549.63,5,0.1,4944.48,Same Day,Net Banking,Online,Alice,Credit Card,12329.778,4109.926
ORD-100062,2023-12-07,2023-12-12,CUST-4826,Customer 1754,Corporate,North,Gujarat,Surat,Office Supplies,Paper,Paper Model 425,21766.12,4,0.3,1186.01,Same Day,Cash,Online,Charlie,Credit Card,13059.672,5441.53
ORD-100063,2024-01-31,2024-02-06,CUST-8213,Customer 205,Home Office,West,Telangana,Hyderabad,Office Supplies,Binders,Binders Model 115,3330.91,6,0.2,793.87,Second Class,Cash,Online,Alice,Bank Transfer,1998.546,555.1516666666666
ORD-100064,2024-11-01,2024-11-03,CUST-9742,Customer 779,Corporate,West,Maharashtra,Pune,Office Supplies,Paper,Paper Model 993,15656.83,2,0.15,3733.7,Standard Class,Card,Retail,David,Credit Card,9394.098,7828.415
